Jim Edmonds,66554,57500,Jim Edmonds,Diamond,Cardinals,99,Awards,CF,False,,,,99,False,True,SET 1,False,2023-04-12 13:45:36.214761
Trayce Thompson,21222,19161,Trayce Thompson,Diamond,Dodgers,97,World Baseball Classic,RF,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Gary Sanchez,21855,19300,Gary Sanchez,Diamond,Free Agents,97,World Baseball Classic,C,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Enrique Hernandez,22370,19428,Enrique Hernandez,Diamond,Red Sox,97,World Baseball Classic,CF,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Diego Castillo,22384,19817,Diego Castillo,Diamond,Mariners,97,World Baseball Classic,RP,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Brandon Leyton,22525,19445,Brandon Leyton,Diamond,Free Agents,97,World Baseball Classic,SS,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Ha-seong Kim,17655,15031,Ha-seong Kim,Diamond,Padres,97,World Baseball Classic,SS,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Jesus Luzardo,17328,15222,Jesus Luzardo,Diamond,Marlins,97,World Baseball Classic,SP,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Jung-hoo Lee,13198,11140,Jung-hoo Lee,Diamond,Free Agents,97,World Baseball Classic,CF,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Byung-ho Park,14371,12035,Byung-ho Park,Diamond,Free Agents,97,World Baseball Classic,1B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Pablo Lopez,14010,11917,Pablo Lopez,Diamond,Twins,97,World Baseball Classic,SP,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Jean Segura,13765,11983,Jean Segura,Diamond,Marlins,97,World Baseball Classic,3B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Kungkuan Giljegiljaw,13500,11505,Kungkuan Giljegiljaw,Diamond,Free Agents,97,World Baseball Classic,C,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Pete Alonso,29847,25601,Pete Alonso,Diamond,Mets,97,World Baseball Classic,1B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Anthony Santander,16908,14200,Anthony Santander,Diamond,Orioles,97,World Baseball Classic,RF,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Freddie Freeman,12843,11126,Freddie Freeman,Diamond,Dodgers,97,World Baseball Classic,1B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Johnny Cueto,12800,11027,Johnny Cueto,Diamond,Marlins,97,World Baseball Classic,SP,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Teoscar Hernandez,12760,11112,Teoscar Hernandez,Diamond,Mariners,97,World Baseball Classic,RF,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Mookie Betts,44899,38500,Mookie Betts,Diamond,Dodgers,97,World Baseball Classic,RF,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Salvador Perez,16700,14215,Salvador Perez,Diamond,Royals,97,World Baseball Classic,C,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Gleyber Torres,17808,15009,Gleyber Torres,Diamond,Yankees,97,World Baseball Classic,2B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Xander Bogaerts,17449,15027,Xander Bogaerts,Diamond,Padres,97,World Baseball Classic,SS,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Rowdy Tellez,17124,14772,Rowdy Tellez,Diamond,Brewers,97,World Baseball Classic,1B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Gary Sheffield,29447,26005,Gary Sheffield,Diamond,Marlins,97,Charisma,RF,False,,,,97,False,True,SET 1,False,2023-04-12 13:45:36.214761
Robinson Cano,12663,11118,Robinson Cano,Diamond,Free Agents,97,World Baseball Classic,2B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
Yoan Moncada,13069,11205,Yoan Moncada,Diamond,White Sox,97,World Baseball Classic,3B,False,,,,97,False,False,SET 1,False,2023-04-12 13:45:36.214761
